episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
101, 2377.042529076338, 1, 2.274981709997519, 40, 62820,                                             62820, 0.0, 7678.05712890625
102, -2617.139604330063, 2, 4.723768160998588, 77, 62897,                                             62897, 0.0, 8367.1611328125
103, -2910.895367383957, 2, 7.11630580000201, 122, 63019,                                             63019, 0.0, 7748.65771484375
104, 1800.4890692830086, 1, 10.337842720997287, 192, 63211,                                             63211, 0.0, 7689.96142578125
105, -2886.269374847412, 2, 6.718433303998609, 117, 63328,                                             63328, 0.0, 6451.17529296875
106, -2939.334097266197, 3, 9.733132892004505, 174, 63502,                                             63502, 0.0, 6625.01416015625
107, -5523.244916796684, 3, 27.98703286399541, 522, 64024,                                             64024, 0.0, 7961.732421875
108, -5348.342735886574, 3, 21.95446942599665, 385, 64409,                                             64409, 0.0, 6316.62646484375
109, -4700.795059204102, 4, 49.83445400700293, 887, 65296,                                             65296, 0.0, 7277.52685546875
110, -4269.539176940918, 3, 26.378851565998048, 457, 65753,                                             65753, 0.0, 6382.287109375
111, -5273.534110426903, 2, 35.623978166004235, 628, 66381,                                             66381, 0.0, 34982.88671875
112, -4113.043849110603, 3, 26.57772590600507, 446, 66827,                                             66827, 0.0, 7372.53857421875
113, -4062.474524140358, 4, 49.82516241299891, 858, 67685,                                             67685, 0.0, 7535.25830078125
114, -6226.491374492645, 2, 46.83798485100124, 806, 68491,                                             68491, 0.0, 7575.740234375
115, -3465.008284986019, 4, 49.26446414599923, 839, 69330,                                             69330, 0.0, 7917.775390625
116, -4782.860748529434, 2, 27.3305571460005, 460, 69790,                                             69790, 0.0, 7692.91015625
117, -3925.4684287309647, 3, 20.38822141000128, 348, 70138,                                             70138, 0.0, 7391.9638671875
118, -5784.664260864258, 4, 50.0108551059966, 845, 70983,                                             70983, 0.0, 7138.32666015625
119, -3831.261093854904, 4, 50.44316378000076, 852, 71835,                                             71835, 0.0, 7320.701171875
120, -4908.350554466248, 2, 36.60160360499867, 609, 72444,                                             72444, 0.0, 7341.396484375
121, -3746.5134967565536, 3, 24.22734769700037, 398, 72842,                                             72842, 0.0, 7366.25146484375
122, -3661.568158328533, 2, 20.152575268002693, 337, 73179,                                             73179, 0.0, 7671.25830078125
123, -4005.300996184349, 3, 22.372327197997947, 359, 73538,                                             73538, 0.0, 6813.4462890625
124, -3727.321097612381, 3, 22.957560795999598, 390, 73928,                                             73928, 0.0, 80850.859375
125, -5477.606983661652, 2, 33.397651553998, 565, 74493,                                             74493, 0.0, 6795.38134765625
126, -4117.509798645973, 2, 21.750786347998655, 369, 74862,                                             74862, 0.0, 6504.83251953125
127, -3845.315710067749, 3, 14.34855610300292, 238, 75100,                                             75100, 0.0, 7061.0185546875
128, -4460.111471056938, 2, 31.799738666995836, 519, 75619,                                             75619, 0.0, 6636.1171875
129, -6888.120024681091, 2, 42.21589576599945, 705, 76324,                                             76324, 0.0, 6083.943359375
