episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
3201, -5882.8222814798355, 2, 29.474654862991883, 608, 1163457,                                             1000000, 0.0, 5027.47021484375
3202, -3976.173127889633, 2, 11.542709813002148, 237, 1163694,                                             1000000, 0.0, 4064.203369140625
3203, 2137.6307601332664, 1, 5.766141717002029, 106, 1163800,                                             1000000, 0.0, 4389.724609375
3204, -2686.3549675941467, 2, 4.073522671998944, 79, 1163879,                                             1000000, 0.0, 7939.5634765625
3205, 1647.41125279665, 1, 11.95050835199072, 249, 1164128,                                             1000000, 0.0, 5062.5927734375
3206, -3487.7023375034332, 2, 13.34774088600534, 271, 1164399,                                             1000000, 0.0, 5003.67138671875
3207, 1921.7480467557907, 1, 10.129784288001247, 210, 1164609,                                             1000000, 0.0, 4971.318359375
3208, -4898.227876573801, 2, 22.157550386007642, 461, 1165070,                                             1000000, 0.0, 5077.87451171875
3209, 2023.0748177170753, 1, 7.13447115800227, 146, 1165216,                                             1000000, 0.0, 4627.9658203125
3210, -4040.6978741288185, 2, 22.95487989099638, 487, 1165703,                                             1000000, 0.0, 4758.6103515625
3211, -3709.5077439546585, 2, 15.39820724099991, 327, 1166030,                                             1000000, 0.0, 4393.90478515625
3212, 1060.6219141483307, 1, 11.524599637006759, 241, 1166271,                                             1000000, 0.0, 3870.674560546875
3213, 559.9515093564987, 1, 25.9821177390113, 555, 1166826,                                             1000000, 0.0, 5543.87744140625
3214, -2878.494634628296, 2, 5.312660833005793, 113, 1166939,                                             1000000, 0.0, 3627.212158203125
3215, -7190.485734462738, 4, 49.83390638200217, 1090, 1168029,                                             1000000, 0.0, 4754.13525390625
3216, 1751.8943234682083, 1, 13.124878092989093, 287, 1168316,                                             1000000, 0.0, 4527.20654296875
3217, 208.52905863523483, 1, 17.154189633001806, 376, 1168692,                                             1000000, 0.0, 5035.81396484375
3218, -4141.388518214226, 3, 17.534614897012943, 376, 1169068,                                             1000000, 0.0, 4660.0693359375
3219, 664.4056314826012, 1, 20.349005543001113, 440, 1169508,                                             1000000, 0.0, 7241.57421875
3220, -6708.394018292427, 3, 25.781532850000076, 546, 1170054,                                             1000000, 0.0, 4929.69287109375
3221, 964.9388233423233, 1, 22.84967810699891, 466, 1170520,                                             1000000, 0.0, 4552.17626953125
3222, -298.84052363038063, 1, 38.8118366169947, 784, 1171304,                                             1000000, 0.0, 4673.44287109375
3223, -2863.706379055977, 2, 6.31344229298702, 121, 1171425,                                             1000000, 0.0, 5198.6767578125
3224, 763.4673097133636, 1, 14.165746282000327, 282, 1171707,                                             1000000, 0.0, 5202.4697265625
3225, 1421.0817985534668, 1, 15.724231186992256, 310, 1172017,                                             1000000, 0.0, 5260.75244140625
3226, 653.5792337656021, 1, 28.771858116000658, 574, 1172591,                                             1000000, 0.0, 4714.853515625
3227, 910.6070443987846, 1, 20.77205466700252, 414, 1173005,                                             1000000, 0.0, 5373.77294921875
3228, -5357.393748164177, 2, 27.768517933989642, 551, 1173556,                                             1000000, 0.0, 4701.41552734375
3229, -2752.9651321172714, 2, 6.54452948999824, 131, 1173687,                                             1000000, 0.0, 5486.94921875
3230, -3504.4849593639374, 2, 13.12560128000041, 259, 1173946,                                             1000000, 0.0, 3939.921875
3231, -4446.681326210499, 2, 25.315318438006216, 519, 1174465,                                             1000000, 0.0, 5360.029296875
3232, -2633.447966337204, 3, 9.143288378996658, 185, 1174650,                                             1000000, 0.0, 4274.443359375
3233, -4065.834093749523, 2, 17.743182846999844, 344, 1174994,                                             1000000, 0.0, 4921.658203125
3234, -2965.2451925873756, 3, 12.336401638007374, 238, 1175232,                                             1000000, 0.0, 4753.8515625
3235, -3361.093033313751, 2, 14.145154372003162, 274, 1175506,                                             1000000, 0.0, 4510.98193359375
3236, 1300.7995089292526, 1, 21.167046243004734, 420, 1175926,                                             1000000, 0.0, 5421.70849609375
3237, -3066.095002412796, 2, 12.732985684007872, 250, 1176176,                                             1000000, 0.0, 4168.20556640625
3238, -2965.5551958084106, 2, 10.727279124999768, 208, 1176384,                                             1000000, 0.0, 5569.2216796875
