episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2723.7453514933586, 2, 7.320403859997896, 119, 25074,                                             25074, 0.0, 3694.462890625
2, -3417.050845861435, 3, 16.227245556001435, 272, 25346,                                             25346, 0.0, 4627.63525390625
3, -2717.029226541519, 2, 7.9194413460027135, 130, 25476,                                             25476, 0.0, 4742.39697265625
4, -3695.8377908468246, 2, 17.542965450000338, 285, 25761,                                             25761, 0.0, 4576.67529296875
5, -4082.139274775982, 2, 30.38489618099993, 502, 26263,                                             26263, 0.0, 4198.85693359375
6, -3875.8061492443085, 2, 24.17640165800185, 403, 26666,                                             26666, 0.0, 4265.21875
7, -2839.4731224775314, 2, 10.541132433001621, 170, 26836,                                             26836, 0.0, 4262.607421875
8, -3089.610591173172, 3, 12.963270063999516, 222, 27058,                                             27058, 0.0, 4310.2099609375
9, -3497.8959752321243, 2, 16.72796122899672, 263, 27321,                                             27321, 0.0, 4061.044189453125
10, -2907.7431502342224, 2, 7.529998411999259, 121, 27442,                                             27442, 0.0, 4009.345458984375
11, -2899.999360024929, 2, 11.562036040999374, 179, 27621,                                             27621, 0.0, 4516.5078125
12, -3764.9164785146713, 2, 23.17118232899884, 372, 27993,                                             27993, 0.0, 4213.2255859375
13, -3527.3601145744324, 3, 17.558353611999337, 286, 28279,                                             28279, 0.0, 4430.728515625
14, -2872.617401123047, 2, 8.131162734996906, 126, 28405,                                             28405, 0.0, 4256.3017578125
15, -5695.15565264225, 2, 43.65847729800225, 721, 29126,                                             29126, 0.0, 4283.3798828125
16, -5287.8367755413055, 2, 30.94268640700102, 510, 29636,                                             29636, 0.0, 4362.27978515625
17, -3583.6975090503693, 2, 12.772469510997325, 219, 29855,                                             29855, 0.0, 4652.29931640625
18, -3292.658610343933, 2, 10.701643312997476, 181, 30036,                                             30036, 0.0, 4010.870849609375
19, -3885.992868065834, 3, 18.35965556500014, 311, 30347,                                             30347, 0.0, 5241.333984375
20, -3649.292772769928, 4, 49.824634223998146, 837, 31184,                                             31184, 0.0, 5056.94287109375
21, -4609.04315161705, 3, 23.00058424799863, 377, 31561,                                             31561, 0.0, 4850.7705078125
22, -3734.553448200226, 2, 16.743614097002137, 281, 31842,                                             31842, 0.0, 4979.9921875
23, 558.8621557354927, 1, 33.396409046999906, 540, 32382,                                             32382, 0.0, 5418.50244140625
24, 2117.900322198868, 1, 12.134209720999934, 187, 32569,                                             32569, 0.0, 5557.98291015625
25, -4064.150713980198, 2, 18.37111384400123, 291, 32860,                                             32860, 0.0, 5755.10888671875
26, -3585.546096801758, 3, 15.340628491001553, 243, 33103,                                             33103, 0.0, 5723.2919921875
27, -4471.956317126751, 2, 34.386517734001245, 554, 33657,                                             33657, 0.0, 5620.109375
28, -3860.821405172348, 3, 22.77064910000263, 378, 34035,                                             34035, 0.0, 6063.986328125
29, -2959.9306534528732, 2, 12.936804084998585, 209, 34244,                                             34244, 0.0, 6942.67724609375
30, -3346.5638270378113, 2, 16.95636496500083, 264, 34508,                                             34508, 0.0, 6068.83447265625
31, -5342.398378491402, 2, 39.84078707400113, 622, 35130,                                             35130, 0.0, 6088.2275390625
32, -3911.61817073822, 3, 12.944122554999922, 202, 35332,                                             35332, 0.0, 6599.0458984375
33, -3923.831768631935, 3, 25.160904461001337, 402, 35734,                                             35734, 0.0, 6444.1884765625
34, -3916.019306063652, 2, 19.36724878500172, 328, 36062,                                             36062, 0.0, 6903.58154296875
35, -3770.753177046776, 3, 21.37043637500028, 353, 36415,                                             36415, 0.0, 6194.71044921875
36, -4180.888594567776, 2, 23.773144574999606, 376, 36791,                                             36791, 0.0, 5927.71337890625
37, -3358.5899333953857, 2, 15.535683315996721, 253, 37044,                                             37044, 0.0, 6147.2802734375
38, -4225.069054484367, 2, 21.567919976001576, 353, 37397,                                             37397, 0.0, 7792.41064453125
39, -3246.4684298038483, 2, 11.330923010998958, 180, 37577,                                             37577, 0.0, 7087.80078125
40, -2694.5112755298615, 2, 6.332684436998534, 101, 37678,                                             37678, 0.0, 7030.02978515625
41, -3081.9152805805206, 2, 11.055022037002345, 176, 37854,                                             37854, 0.0, 7985.05419921875
42, -3954.460260272026, 4, 50.436933924000186, 828, 38682,                                             38682, 0.0, 8871.994140625
43, -5044.575554609299, 2, 37.60024006800086, 598, 39280,                                             39280, 0.0, 7950.83544921875
44, -3297.0651260614395, 3, 19.367799210998783, 312, 39592,                                             39592, 0.0, 7751.0302734375
45, -3725.7412198781967, 3, 23.361084820000542, 383, 39975,                                             39975, 0.0, 7078.88720703125
46, -3094.995297908783, 3, 16.551516241997888, 268, 40243,                                             40243, 0.0, 7047.04150390625
47, -2904.142364382744, 2, 8.721993614002713, 139, 40382,                                             40382, 0.0, 7556.962890625
48, -3639.28493642807, 3, 23.17302941700109, 371, 40753,                                             40753, 0.0, 7974.18408203125
49, -3268.8834661245346, 2, 18.76284103799844, 298, 41051,                                             41051, 0.0, 7555.71484375
50, -2632.363115787506, 2, 8.334476894000545, 131, 41182,                                             41182, 0.0, 7836.3271484375
51, -3229.9753655195236, 2, 14.201438926000264, 225, 41407,                                             41407, 0.0, 7635.57666015625
52, -2978.796242952347, 2, 9.741306972002349, 155, 41562,                                             41562, 0.0, 8226.9033203125
53, -3305.5481798648834, 2, 11.93075315799797, 185, 41747,                                             41747, 0.0, 7117.1015625
54, -2782.278209924698, 3, 11.13519785400058, 180, 41927,                                             41927, 0.0, 7178.15771484375
55, -3619.83846616745, 2, 17.1448281640005, 282, 42209,                                             42209, 0.0, 7663.921875
56, -3524.1152287721634, 3, 22.76935638500072, 377, 42586,                                             42586, 0.0, 8702.5361328125
57, -3220.6381536722183, 3, 17.94564249999894, 291, 42877,                                             42877, 0.0, 8771.451171875
58, -2656.367233812809, 2, 8.120996255998762, 129, 43006,                                             43006, 0.0, 8345.494140625
59, -4390.176714658737, 2, 23.369420688999526, 381, 43387,                                             43387, 0.0, 8107.65625
60, -4164.793935060501, 3, 26.17093691899936, 432, 43819,                                             43819, 0.0, 7756.41845703125
61, 508.6821033358574, 1, 22.24014239600001, 372, 44191,                                             44191, 0.0, 7026.28271484375
62, -2868.079454421997, 2, 4.92574831499951, 83, 44274,                                             44274, 0.0, 6364.4140625
63, -3393.799192070961, 3, 18.573130511998897, 302, 44576,                                             44576, 0.0, 7180.1416015625
64, -4182.488743066788, 2, 16.18747849599822, 266, 44842,                                             44842, 0.0, 8564.15234375
65, -3614.563786506653, 2, 16.51831958600087, 276, 45118,                                             45118, 0.0, 7881.2607421875
66, -4484.578724265099, 2, 27.98636592299954, 476, 45594,                                             45594, 0.0, 7489.42626953125
