episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
5001, 2358.158369809389, 1, 2.560236163999434, 48, 1822050,                                             1000000, 0.0, 7818.11083984375
5002, -3236.051789522171, 2, 9.52872201199898, 170, 1822220,                                             1000000, 0.0, 5173.27294921875
5003, 657.3069488406181, 1, 23.185880888999236, 410, 1822630,                                             1000000, 0.0, 5162.9775390625
5004, -5444.224828183651, 3, 42.014267983000536, 773, 1823403,                                             1000000, 0.0, 5700.591796875
5005, 2054.198046565056, 1, 7.132146031999582, 129, 1823532,                                             1000000, 0.0, 5391.36572265625
5006, 614.1702882647514, 1, 19.54889960499895, 364, 1823896,                                             1000000, 0.0, 5353.09423828125
5007, -2033.7369781434536, 1, 50.04981250499986, 935, 1824831,                                             1000000, 0.0, 5276.99365234375
5008, 27.47781166434288, 1, 28.769810207000774, 514, 1825345,                                             1000000, 0.0, 5395.357421875
5009, 673.0929135084152, 1, 28.194750796001244, 547, 1825892,                                             1000000, 0.0, 5800.87548828125
5010, 398.54171538352966, 1, 29.988721628998974, 527, 1826419,                                             1000000, 0.0, 4979.60888671875
5011, -4094.7109855413437, 3, 22.174676528999044, 401, 1826820,                                             1000000, 0.0, 4539.31787109375
5012, -3494.2941834926605, 2, 12.13648855700012, 213, 1827033,                                             1000000, 0.0, 5173.8994140625
5013, 867.4336041510105, 1, 19.35693654500028, 424, 1827457,                                             1000000, 0.0, 5252.60400390625
5014, -2808.7283284664154, 3, 6.516394346999732, 113, 1827570,                                             1000000, 0.0, 4172.103515625
5015, 1222.8711915016174, 1, 19.56727879800019, 382, 1827952,                                             1000000, 0.0, 5449.650390625
5016, -4743.80058825016, 3, 41.60850718199981, 781, 1828733,                                             1000000, 0.0, 5361.810546875
5017, -1397.6857108175755, 1, 42.03414133899969, 921, 1829654,                                             1000000, 0.0, 5544.20703125
5018, 1099.4413330554962, 1, 16.94091073100026, 434, 1830088,                                             1000000, 0.0, 5237.4404296875
5019, 177.66898548603058, 1, 22.760582565000732, 608, 1830696,                                             1000000, 0.0, 4701.509765625
5020, 9.978741765022278, 1, 31.4037894209996, 799, 1831495,                                             1000000, 0.0, 5187.20263671875
5021, -2957.2275253236294, 1, 48.753134475999104, 1287, 1832782,                                             1000000, 0.0, 4866.55029296875
5022, -673.0088594555855, 1, 29.387071907000063, 779, 1833561,                                             1000000, 0.0, 5402.318359375
5023, 81.19270052015781, 1, 29.580906556000627, 783, 1834344,                                             1000000, 0.0, 5338.5244140625
5024, 1758.3828039467335, 1, 9.74215929300044, 261, 1834605,                                             1000000, 0.0, 5547.91552734375
5025, -2598.03275680542, 2, 1.5038903179993213, 30, 1834635,                                             1000000, 0.0, 4653.07861328125
5026, 1031.6729265749454, 1, 17.1552485659995, 458, 1835093,                                             1000000, 0.0, 5152.111328125
5027, -3813.8683005571365, 3, 14.332639861000644, 379, 1835472,                                             1000000, 0.0, 5422.552734375
5028, 1218.6752436757088, 1, 14.958068966998326, 402, 1835874,                                             1000000, 0.0, 4842.1328125
5029, -1622.9215925633907, 1, 38.598151117999805, 1050, 1836924,                                             1000000, 0.0, 5470.341796875
5030, 1436.1780597567558, 1, 14.137799710000763, 381, 1837305,                                             1000000, 0.0, 4362.31201171875
5031, -7247.333574652672, 3, 44.806374140000116, 1236, 1838541,                                             1000000, 0.0, 5252.6708984375
5032, 298.64137825369835, 1, 21.55339961900063, 588, 1839129,                                             1000000, 0.0, 5117.296875
5033, -3724.7790131270885, 1, 47.22959888300102, 1317, 1840446,                                             1000000, 0.0, 4422.57275390625
5034, -1387.8668984174728, 1, 29.581764645001385, 781, 1841227,                                             1000000, 0.0, 5374.59033203125
5035, -5284.21274471283, 2, 25.384751221999977, 640, 1841867,                                             1000000, 0.0, 5106.21337890625
5036, 845.7473333477974, 1, 20.560859819999678, 521, 1842388,                                             1000000, 0.0, 4863.009765625
5037, -4189.247541666031, 3, 13.330984346999685, 336, 1842724,                                             1000000, 0.0, 5245.7255859375
5038, 2100.100505709648, 1, 6.329421435999393, 157, 1842881,                                             1000000, 0.0, 4568.470703125
5039, -3643.102715551853, 2, 15.13758014800078, 383, 1843264,                                             1000000, 0.0, 5093.794921875
5040, 2066.074350118637, 1, 5.716499031001149, 141, 1843405,                                             1000000, 0.0, 6155.16943359375
5041, 1240.8891164660454, 1, 16.14391466000052, 408, 1843813,                                             1000000, 0.0, 5220.96630859375
5042, 770.4386011958122, 1, 21.958721715000138, 564, 1844377,                                             1000000, 0.0, 5490.00244140625
5043, -3788.9199998378754, 3, 10.941931106999618, 282, 1844659,                                             1000000, 0.0, 4926.2919921875
