episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1701, 2153.9554760605097, 1, 2.414129842999955, 121, 1501360,                                             1000000, 0.0, 2156.328369140625
1702, -4511.426889359951, 1, 21.36689547100002, 1164, 1502524,                                             1000000, 0.0, 2443.50146484375
1703, -4326.408191561699, 2, 4.110176668000008, 214, 1502738,                                             1000000, 0.0, 2275.3447265625
1704, 1487.9440794587135, 1, 6.327361274000054, 355, 1503093,                                             1000000, 0.0, 3103.31787109375
1705, -420.4980709552765, 1, 9.126547843999901, 510, 1503603,                                             1000000, 0.0, 2121.424072265625
1706, -7219.6014976501465, 2, 17.55756647999999, 956, 1504559,                                             1000000, 0.0, 2557.9619140625
1707, -3850.6772860884666, 2, 5.916667112000027, 305, 1504864,                                             1000000, 0.0, 2950.807373046875
1708, -4311.777036368847, 2, 9.12714753399996, 466, 1505330,                                             1000000, 0.0, 2355.639404296875
1709, -4292.172337055206, 2, 7.738424845000054, 403, 1505733,                                             1000000, 0.0, 2646.65234375
1710, -4089.5116688013077, 3, 11.528072395000208, 604, 1506337,                                             1000000, 0.0, 2556.19140625
1711, 965.3908731937408, 1, 9.312900633000027, 488, 1506825,                                             1000000, 0.0, 2856.556640625
1712, -2695.0194639861584, 1, 21.556622779999998, 1115, 1507940,                                             1000000, 0.0, 2662.6982421875
1713, -5281.278419554234, 2, 17.56240632999993, 907, 1508847,                                             1000000, 0.0, 2528.753662109375
1714, 974.2121850848198, 1, 9.13735828300014, 478, 1509325,                                             1000000, 0.0, 2797.602783203125
1715, -4543.286385178566, 2, 6.314679573000149, 317, 1509642,                                             1000000, 0.0, 2799.38134765625
1716, -6111.169073820114, 2, 12.539845937999871, 651, 1510293,                                             1000000, 0.0, 2850.71533203125
1717, 7.0026772022247314, 1, 11.142531180999868, 582, 1510875,                                             1000000, 0.0, 2337.598876953125
1718, 395.73675429821014, 1, 14.131827253999973, 717, 1511592,                                             1000000, 0.0, 2434.784912109375
1719, 347.32710015773773, 1, 11.54835716599996, 609, 1512201,                                             1000000, 0.0, 2571.727294921875
1720, 1111.4538214504719, 1, 12.543521269000166, 630, 1512831,                                             1000000, 0.0, 2646.425537109375
1721, -6825.82619124651, 2, 16.336455240000078, 867, 1513698,                                             1000000, 0.0, 2493.025634765625
1722, 1295.207539498806, 1, 7.519368886000166, 377, 1514075,                                             1000000, 0.0, 2590.992431640625
1723, -3223.1551138162613, 3, 4.729733508999971, 240, 1514315,                                             1000000, 0.0, 2788.803466796875
1724, 475.7036794424057, 1, 13.543302528999902, 707, 1515022,                                             1000000, 0.0, 2750.9248046875
1725, -3066.977928161621, 1, 26.97224920000008, 1262, 1516284,                                             1000000, 0.0, 2345.224609375
1726, -3957.3529567718506, 2, 2.1199880140000005, 85, 1516369,                                             1000000, 0.0, 3059.4638671875
1727, -321.78756842017174, 1, 21.152813996000077, 944, 1517313,                                             1000000, 0.0, 2862.542724609375
1728, -2018.1747628450394, 1, 30.183485036000093, 1437, 1518750,                                             1000000, 0.0, 2626.338134765625
1729, -7696.721263408661, 3, 25.180021846000045, 1192, 1519942,                                             1000000, 0.0, 2639.05224609375
1730, -4715.745954215527, 3, 13.954670166000142, 651, 1520593,                                             1000000, 0.0, 2844.0390625
1731, -6203.940872848034, 2, 13.868540502000087, 710, 1521303,                                             1000000, 0.0, 2117.510009765625
