episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -4439.046426534653, 3, 9.53518811200047, 525, 25289,                                             25289, 0.0, 4097.82763671875
2, -5880.285901069641, 2, 11.616564708994702, 633, 25922,                                             25922, 0.0, 3228.171630859375
3, -5872.757490873337, 2, 14.552634212996054, 800, 26722,                                             26722, 0.0, 4508.90478515625
4, -4562.6359758377075, 2, 5.928759364003781, 319, 27041,                                             27041, 0.0, 4018.770751953125
5, -4185.453804016113, 2, 7.115077320995624, 382, 27423,                                             27423, 0.0, 3418.0615234375
6, -7783.9400421381, 2, 19.961987800001225, 1105, 28528,                                             28528, 0.0, 5162.52734375
7, -4017.566089630127, 2, 5.330238037000527, 283, 28811,                                             28811, 0.0, 6849.205078125
8, -6357.050885081291, 3, 9.320216917003563, 499, 29310,                                             29310, 0.0, 6609.6142578125
9, -7174.881174325943, 2, 13.345229606995417, 737, 30047,                                             30047, 0.0, 4733.4541015625
10, 2173.3082150816917, 1, 4.5093539290028275, 228, 30275,                                             30275, 0.0, 7934.279296875
11, -3343.05468249321, 2, 3.7932758160022786, 197, 30472,                                             30472, 0.0, 8019.14599609375
12, -4629.696441888809, 2, 6.129587129995343, 337, 30809,                                             30809, 0.0, 6538.154296875
13, -4607.578466415405, 2, 6.717220065998845, 356, 31165,                                             31165, 0.0, 8715.4609375
14, -3818.8322625160217, 2, 6.928113402995223, 375, 31540,                                             31540, 0.0, 6723.34326171875
15, -4340.378617525101, 2, 7.113047257000289, 380, 31920,                                             31920, 0.0, 8445.142578125
16, -3439.8886538743973, 2, 5.725308537999808, 305, 32225,                                             32225, 0.0, 6112.90673828125
17, -4932.898956537247, 2, 8.321101587003795, 439, 32664,                                             32664, 0.0, 7782.0751953125
18, -4212.728587150574, 3, 8.73584694800229, 480, 33144,                                             33144, 0.0, 5436.6142578125
19, -4381.387092351913, 2, 6.936296292995394, 381, 33525,                                             33525, 0.0, 10010.91796875
20, -6180.384566903114, 2, 12.532117025002663, 673, 34198,                                             34198, 0.0, 6784.0087890625
21, -5287.576245069504, 2, 6.991327775998798, 375, 34573,                                             34573, 0.0, 6621.36328125
22, -2950.1019455194473, 2, 4.923947174997011, 269, 34842,                                             34842, 0.0, 8857.216796875
23, -7120.77313709259, 2, 13.752082055005303, 757, 35599,                                             35599, 0.0, 5476.86572265625
24, -3924.715161085129, 2, 5.31248009599949, 273, 35872,                                             35872, 0.0, 6436.802734375
25, -4689.920303106308, 2, 12.543771888995252, 682, 36554,                                             36554, 0.0, 7069.52587890625
26, -4565.8245404958725, 2, 12.331029189001129, 653, 37207,                                             37207, 0.0, 5359.21484375
27, -6017.327867746353, 2, 13.347744002996478, 725, 37932,                                             37932, 0.0, 5798.0380859375
28, -5180.6918861866, 2, 13.331011745001888, 706, 38638,                                             38638, 0.0, 7242.546875
29, -4449.5556708574295, 2, 9.339595821002149, 509, 39147,                                             39147, 0.0, 5938.0888671875
30, -5928.498801231384, 2, 14.554736379002861, 785, 39932,                                             39932, 0.0, 10031.2333984375
31, -3478.729373693466, 2, 7.172320683996077, 370, 40302,                                             40302, 0.0, 7930.13037109375
32, -4021.495532274246, 2, 6.920807149006578, 363, 40665,                                             40665, 0.0, 7543.1357421875
33, -4218.240535020828, 2, 5.731195599000785, 308, 40973,                                             40973, 0.0, 6519.6162109375
34, -4428.764210224152, 2, 7.115322195000772, 374, 41347,                                             41347, 0.0, 8368.3408203125
35, -9563.940007567406, 2, 16.75502007799514, 898, 42245,                                             42245, 0.0, 7040.62939453125
36, -4536.601961374283, 3, 8.93806300900178, 473, 42718,                                             42718, 0.0, 8517.1904296875
37, -3910.7510137557983, 2, 7.117173801001627, 368, 43086,                                             43086, 0.0, 9268.9560546875
38, -5808.943347930908, 2, 8.533320094000374, 450, 43536,                                             43536, 0.0, 6356.15283203125
39, -10072.711459517479, 2, 19.94689534999634, 1062, 44598,                                             44598, 0.0, 7026.4482421875
40, -3824.5571897029877, 2, 6.7325921390001895, 362, 44960,                                             44960, 0.0, 5583.8427734375
41, -7651.295146226883, 2, 11.781213818998367, 617, 45577,                                             45577, 0.0, 8133.29248046875
42, -7872.141197443008, 2, 21.570173175998207, 1129, 46706,                                             46706, 0.0, 7393.53515625
43, -4382.620115339756, 2, 10.944290128994908, 572, 47278,                                             47278, 0.0, 6684.5087890625
44, -6383.4668390750885, 2, 14.539359643000353, 757, 48035,                                             48035, 0.0, 7248.5078125
45, -3533.7473022937775, 2, 5.518289827996341, 279, 48314,                                             48314, 0.0, 5746.67529296875
46, -5504.564356327057, 2, 12.742656766000437, 671, 48985,                                             48985, 0.0, 8183.50244140625
47, -6419.762744665146, 2, 13.934343646003981, 715, 49700,                                             49700, 0.0, 8164.935546875
48, -3878.684789419174, 2, 6.9343709430031595, 356, 50056,                                             50056, 0.0, 8705.40625
49, -4003.8187634944916, 2, 7.922213922000083, 404, 50460,                                             50460, 0.0, 8552.6962890625
50, -4588.374047875404, 2, 7.521640191000188, 384, 50844,                                             50844, 0.0, 9246.3818359375
51, -7858.975412368774, 2, 18.517199724999955, 977, 51821,                                             51821, 0.0, 8341.232421875
52, -4963.407953977585, 2, 8.32246748200123, 429, 52250,                                             52250, 0.0, 6805.88232421875
53, -9658.800143122673, 2, 22.770383820999996, 1118, 53368,                                             53368, 0.0, 7107.6689453125
54, 2320.3493951559067, 1, 3.9110548830067273, 196, 53564,                                             53564, 0.0, 7207.57861328125
55, -5858.268289089203, 2, 10.141266277001705, 513, 54077,                                             54077, 0.0, 7903.61328125
56, -3251.7241393327713, 2, 6.730785966996336, 341, 54418,                                             54418, 0.0, 10176.138671875
57, -3546.3107013106346, 2, 7.916203590997611, 390, 54808,                                             54808, 0.0, 10301.9375
58, -4192.642815828323, 2, 7.3351339400032884, 376, 55184,                                             55184, 0.0, 8644.431640625
59, 1983.2836669683456, 1, 8.520149909003521, 417, 55601,                                             55601, 0.0, 9948.6875
60, -4753.476788699627, 2, 12.5511947039995, 627, 56228,                                             56228, 0.0, 7883.07568359375
61, -4282.353341579437, 2, 8.55581671300024, 427, 56655,                                             56655, 0.0, 9247.150390625
62, -6447.521693646908, 2, 13.547223485998984, 683, 57338,                                             57338, 0.0, 9386.6083984375
63, -7185.840464353561, 2, 16.54602656699717, 824, 58162,                                             58162, 0.0, 7727.52978515625
64, -4057.8798718452454, 2, 7.91461829799664, 382, 58544,                                             58544, 0.0, 8264.193359375
65, -5591.065193772316, 2, 13.94532705599704, 697, 59241,                                             59241, 0.0, 7876.44775390625
66, -4753.746332645416, 2, 7.115588933003892, 345, 59586,                                             59586, 0.0, 9874.1357421875
67, -3730.1666651964188, 2, 8.935362543001247, 442, 60028,                                             60028, 0.0, 8771.3974609375
68, -4017.8544681072235, 2, 12.129577813997457, 593, 60621,                                             60621, 0.0, 8262.29296875
69, -3696.339377760887, 2, 5.7248831749966484, 279, 60900,                                             60900, 0.0, 10469.4873046875
70, 2332.5489054322243, 1, 4.112182199001836, 187, 61087,                                             61087, 0.0, 8074.24951171875
71, -5643.821853876114, 2, 9.175768385000993, 460, 61547,                                             61547, 0.0, 9075.552734375
72, -3331.251054286957, 2, 8.14043208899966, 403, 61950,                                             61950, 0.0, 9422.55859375
73, -4426.993824481964, 2, 6.316819892002968, 298, 62248,                                             62248, 0.0, 10641.466796875
74, -4460.523721933365, 3, 9.523269630997675, 461, 62709,                                             62709, 0.0, 9689.2587890625
75, -5812.915035486221, 3, 9.135372267002822, 443, 63152,                                             63152, 0.0, 8459.2119140625
76, 1814.150607392192, 1, 8.132466818002285, 403, 63555,                                             63555, 0.0, 7508.63134765625
77, -3565.2028436660767, 2, 4.310032476001652, 204, 63759,                                             63759, 0.0, 10742.2470703125
