episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
601, -10345.579197525978, 2, 20.93863043300371, 1236, 523378,                                             523378, 0.0, 2401.37109375
602, -8372.49367967248, 1, 37.81041993999679, 2249, 525627,                                             525627, 0.0, 2266.06201171875
603, -3748.0874506533146, 1, 29.967661720998876, 1756, 527383,                                             527383, 0.0, 2501.92333984375
604, -2900.6336801350117, 1, 29.38415600800363, 1743, 529126,                                             529126, 0.0, 2402.80224609375
605, -11752.777262628078, 3, 40.58604327899957, 2414, 531540,                                             531540, 0.0, 2435.513427734375
606, -3840.109599471092, 3, 9.739853655999468, 569, 532109,                                             532109, 0.0, 2485.5185546875
607, -9952.89531737566, 3, 21.16815046100237, 1257, 533366,                                             533366, 0.0, 2201.8935546875
608, -4915.241850852966, 2, 11.545204403999378, 675, 534041,                                             534041, 0.0, 2737.6337890625
609, 2129.8876091241837, 1, 4.312627988001623, 245, 534286,                                             534286, 0.0, 2741.324951171875
610, -3693.6419394016266, 2, 4.3130509440015885, 239, 534525,                                             534525, 0.0, 2428.333740234375
611, -4859.012874335051, 1, 39.12707474700437, 2306, 536831,                                             536831, 0.0, 2294.0068359375
612, -4254.336292505264, 3, 6.117821411993646, 342, 537173,                                             537173, 0.0, 1897.97314453125
613, -1421.1720242500305, 1, 23.358110311004566, 1370, 538543,                                             538543, 0.0, 2680.538818359375
614, -6283.775404453278, 2, 14.754017367995402, 870, 539413,                                             539413, 0.0, 1909.187255859375
615, 434.1315370798111, 1, 13.950967823999235, 798, 540211,                                             540211, 0.0, 2425.790771484375
616, -3937.7594302892685, 3, 10.941376246999425, 647, 540858,                                             540858, 0.0, 2623.98388671875
617, -6814.660737395287, 2, 20.164048516999173, 1191, 542049,                                             542049, 0.0, 2435.861572265625
618, -5714.795509517193, 3, 12.527583030001551, 729, 542778,                                             542778, 0.0, 2847.42724609375
619, -4129.028424501419, 2, 8.943047642998863, 517, 543295,                                             543295, 0.0, 2640.76123046875
620, -4505.526726067066, 2, 11.127642956002092, 641, 543936,                                             543936, 0.0, 2024.4598388671875
621, -725.5986141264439, 1, 20.39182557699678, 1184, 545120,                                             545120, 0.0, 2521.622802734375
622, -943.9465379714966, 1, 20.340790604997892, 1187, 546307,                                             546307, 0.0, 2431.85205078125
623, -5043.942222952843, 2, 9.128281965000497, 518, 546825,                                             546825, 0.0, 2026.852294921875
624, -4999.570842385292, 2, 10.744343869999284, 634, 547459,                                             547459, 0.0, 2358.373046875
625, -14513.767444729805, 2, 40.788196458997845, 2422, 549881,                                             549881, 0.0, 2299.100830078125
626, -4493.937477052212, 2, 11.930782259005355, 695, 550576,                                             550576, 0.0, 2621.201171875
627, -16572.159033238888, 2, 33.79763675900176, 2023, 552599,                                             552599, 0.0, 2054.967041015625
628, -9454.59954237938, 3, 21.753756329999305, 1280, 553879,                                             553879, 0.0, 2465.60205078125
629, -1984.1653877198696, 1, 24.96972018299857, 1490, 555369,                                             555369, 0.0, 2296.261474609375
630, -6805.935558974743, 1, 28.156849413004238, 1662, 557031,                                             557031, 0.0, 2673.688720703125
631, -13910.081164360046, 3, 38.215109896002105, 2228, 559259,                                             559259, 0.0, 2433.966796875
632, -776.6603240072727, 1, 20.36254975400516, 1208, 560467,                                             560467, 0.0, 2066.54150390625
633, -9513.594153285027, 1, 28.572696131996054, 1670, 562137,                                             562137, 0.0, 2470.45849609375
634, -4169.45239841938, 2, 6.919747525003913, 394, 562531,                                             562531, 0.0, 2412.64306640625
635, -5347.776852726936, 2, 11.547690887004137, 668, 563199,                                             563199, 0.0, 2626.9794921875
636, -4228.6600977778435, 3, 13.128090548998443, 758, 563957,                                             563957, 0.0, 2967.556396484375
637, -9810.110548526049, 4, 49.828445922001265, 2921, 566878,                                             566878, 0.0, 2351.462646484375
638, -5820.236921608448, 2, 17.139368361997185, 992, 567870,                                             567870, 0.0, 2263.52490234375
639, -3314.0100751519203, 1, 33.19815899999958, 1936, 569806,                                             569806, 0.0, 2288.061767578125
640, -9325.200715959072, 4, 50.21117930999753, 2930, 572736,                                             572736, 0.0, 2550.478759765625
641, -15095.860207736492, 4, 50.03972344700014, 2916, 575652,                                             575652, 0.0, 2234.758056640625
642, 743.6925480365753, 1, 9.742027484004211, 565, 576217,                                             576217, 0.0, 2068.398193359375
643, -1720.4992140829563, 1, 18.55642322699714, 1053, 577270,                                             577270, 0.0, 2200.318603515625
644, -4042.82939350605, 2, 8.534383175996481, 493, 577763,                                             577763, 0.0, 2290.00146484375
645, 864.4418135285378, 1, 12.944419227002072, 750, 578513,                                             578513, 0.0, 2244.42041015625
646, -23087.09000736475, 4, 50.413132030997076, 2935, 581448,                                             581448, 0.0, 2430.594970703125
647, -5380.316348552704, 3, 15.554605994999292, 903, 582351,                                             582351, 0.0, 2232.0791015625
648, -11493.804178595543, 4, 49.81872681299865, 2893, 585244,                                             585244, 0.0, 2324.794677734375
649, -2833.486088871956, 1, 28.780355861003045, 1661, 586905,                                             586905, 0.0, 2101.6708984375
650, -5596.6013432741165, 1, 14.53397502200096, 827, 587732,                                             587732, 0.0, 2587.61279296875
651, -324.1484040915966, 1, 18.196612902000197, 1048, 588780,                                             588780, 0.0, 2140.471923828125
652, -5910.970461785793, 2, 14.749894412998401, 829, 589609,                                             589609, 0.0, 2217.86962890625
653, -6022.309419751167, 3, 14.550433158001397, 844, 590453,                                             590453, 0.0, 2119.62548828125
654, 1242.0274963378906, 1, 11.140408784995088, 643, 591096,                                             591096, 0.0, 1977.99169921875
655, -455.36880308389664, 1, 15.541386987002625, 882, 591978,                                             591978, 0.0, 2271.4189453125
656, -7082.834786295891, 2, 18.95563020800182, 1093, 593071,                                             593071, 0.0, 1949.34814453125
657, -11518.197885811329, 4, 49.63279447700188, 2849, 595920,                                             595920, 0.0, 2273.691650390625
658, 1970.6637542247772, 1, 4.911278882005718, 261, 596181,                                             596181, 0.0, 2285.812744140625
659, -6852.163717985153, 3, 20.547874105999654, 1178, 597359,                                             597359, 0.0, 2019.2755126953125
660, 1048.8929843902588, 1, 12.541495817997202, 721, 598080,                                             598080, 0.0, 2048.61865234375
661, -6809.796897411346, 2, 8.928354937001131, 502, 598582,                                             598582, 0.0, 2357.89208984375
662, 1608.3880258202553, 1, 8.31954553599644, 453, 599035,                                             599035, 0.0, 2209.9169921875
663, -2836.9682683348656, 3, 3.929812962000142, 214, 599249,                                             599249, 0.0, 2022.502685546875
664, -5301.565799236298, 2, 14.131276511994656, 799, 600048,                                             600048, 0.0, 2119.177001953125
665, 30.582002580165863, 1, 18.962613565003267, 1094, 601142,                                             601142, 0.0, 2246.57470703125
666, -12492.261977732182, 2, 45.60473582299892, 2618, 603760,                                             603760, 0.0, 2184.211181640625
667, 718.4919577240944, 1, 11.547174774001178, 664, 604424,                                             604424, 0.0, 2106.12890625
668, -4495.468804240227, 3, 9.723660591000225, 547, 604971,                                             604971, 0.0, 1969.878662109375
669, -6408.025760769844, 2, 19.160365613999602, 1103, 606074,                                             606074, 0.0, 2007.4619140625
670, -954.7526293992996, 1, 21.768948814002215, 1247, 607321,                                             607321, 0.0, 2244.870361328125
671, -10840.51905989647, 4, 50.81153821400221, 2902, 610223,                                             610223, 0.0, 2334.626708984375
672, -8142.838645040989, 3, 21.764687142000184, 1247, 611470,                                             611470, 0.0, 2358.125732421875
673, -17186.45682811737, 4, 50.63851761200203, 2907, 614377,                                             614377, 0.0, 2389.064697265625
674, -5671.225475728512, 2, 14.533227451996936, 824, 615201,                                             615201, 0.0, 1993.7445068359375
675, -2317.495891690254, 1, 31.591976198003977, 1799, 617000,                                             617000, 0.0, 2387.676025390625
676, -3039.9000591039658, 1, 19.34452941500058, 1092, 618092,                                             618092, 0.0, 2070.654541015625
677, -942.8780506700277, 1, 22.17248843699781, 1271, 619363,                                             619363, 0.0, 1887.1239013671875
678, -6459.221474885941, 1, 23.35047070600558, 1324, 620687,                                             620687, 0.0, 2109.0498046875
679, -8158.291252493858, 3, 18.76093036599923, 1070, 621757,                                             621757, 0.0, 1991.2916259765625
680, 894.7873322367668, 1, 8.921756658004597, 485, 622242,                                             622242, 0.0, 2391.793701171875
681, 125.71122479438782, 1, 20.580522905002, 1167, 623409,                                             623409, 0.0, 2187.197998046875
682, -3821.686399549246, 1, 31.78867185299896, 1774, 625183,                                             625183, 0.0, 2284.09912109375
683, -12253.92338860035, 4, 50.03164426500007, 2866, 628049,                                             628049, 0.0, 2465.7509765625
684, 370.68235647678375, 1, 13.749822326004505, 764, 628813,                                             628813, 0.0, 2175.558837890625
685, -4651.028372049332, 1, 29.963711855998554, 1642, 630455,                                             630455, 0.0, 2274.14208984375
686, 1330.2454676628113, 1, 9.143711677999818, 500, 630955,                                             630955, 0.0, 2072.470947265625
687, -3934.6330921649933, 2, 3.3074254900056985, 165, 631120,                                             631120, 0.0, 2003.033203125
688, -5521.493185997009, 3, 9.537559184005659, 524, 631644,                                             631644, 0.0, 2230.101806640625
689, 1148.7388974428177, 1, 12.528467998999986, 682, 632326,                                             632326, 0.0, 2407.720947265625
690, -1097.7245600223541, 1, 16.75608101800026, 922, 633248,                                             633248, 0.0, 2611.91259765625
691, 916.8777095675468, 1, 11.882368835002126, 656, 633904,                                             633904, 0.0, 2143.78466796875
692, 555.2775164842606, 1, 15.549866309003846, 869, 634773,                                             634773, 0.0, 2524.0322265625
693, -3831.271167397499, 1, 15.934182298995438, 889, 635662,                                             635662, 0.0, 2012.4351806640625
694, -3412.68497633934, 2, 2.725419452006463, 145, 635807,                                             635807, 0.0, 2511.118896484375
695, 933.6359407305717, 1, 8.72154367800249, 483, 636290,                                             636290, 0.0, 2572.626708984375
696, -402.42915230989456, 1, 21.564755829000205, 1219, 637509,                                             637509, 0.0, 2391.925537109375
697, -5660.477713793516, 2, 21.1438352710029, 1191, 638700,                                             638700, 0.0, 2055.71337890625
698, 941.2689377069473, 1, 8.542737652998767, 471, 639171,                                             639171, 0.0, 1999.09326171875
699, -1546.582306921482, 1, 21.74467908200313, 1225, 640396,                                             640396, 0.0, 2054.662109375
700, 225.43410743772984, 1, 16.53657225400093, 910, 641306,                                             641306, 0.0, 2175.214599609375
701, -5147.281564712524, 2, 10.486251495000033, 592, 641898,                                             641898, 0.0, 1904.4227294921875
702, -13206.997923254967, 2, 28.378883530000167, 1592, 643490,                                             643490, 0.0, 2121.62255859375
703, 989.1930823922157, 1, 12.131949135000468, 671, 644161,                                             644161, 0.0, 2460.592041015625
704, -2683.81326469779, 1, 30.592895305002457, 1736, 645897,                                             645897, 0.0, 2322.89892578125
705, -4218.716646552086, 3, 8.517082888000004, 471, 646368,                                             646368, 0.0, 2125.6298828125
706, 1491.235166490078, 1, 9.535431967000477, 535, 646903,                                             646903, 0.0, 2830.195068359375
707, -1518.976413011551, 1, 24.557594808997237, 1380, 648283,                                             648283, 0.0, 2294.735595703125
708, -6493.291115999222, 3, 15.151092684995092, 849, 649132,                                             649132, 0.0, 2242.31689453125
709, -2764.9699931144714, 1, 29.567945620998216, 1660, 650792,                                             650792, 0.0, 2419.9384765625
710, -4779.687672138214, 2, 3.71108804600226, 195, 650987,                                             650987, 0.0, 2455.992919921875
711, 533.3888625353575, 1, 10.730303883996385, 595, 651582,                                             651582, 0.0, 2356.076416015625
